ID,Gender,Age,Height,Weight,Body Shape,bkgApose,nobkgApose,bkgStandardPose,nobkgStandardPose,bkgTpose,nobkgTpose,bkgFreePose,nobkgFreePose,MidNeckCircumference,NeckCircumference1,ShoulderWidth,SleeveCircumference,ArmLength-1,BicepsCircumference,WristCircumference,BreastCircumference,UpperBreastCircumference,LowerBreastCircumference,WaistCircumference1,AbodomenCircumference,CoxaCircumference,HipCircumference,ThighCircumference,CalfCircumference,LegLength-1,FrontNeck2HipLength-1,BackNeck2HipLength-1,NeckCircumference-2,ArmLength-2,WaistCircumference-2,LegLength-2,FrontNeck2HipLength-2,BackNeck2HipLength-2,HeightOfChest,DistanceOfChest,NapeToWaist,Knee circumference,WidthOfBack,Coxa2HipBottom,UpperHipCircumference
1,male,51,172.5,82.8,NaN,2161-0001_1.png,2083-0001_1.png,NaN,NaN,NaN,NaN,NaN,NaN,42,50,48,55,55,32,19,106,107,NaN,99,102,103,109,59,41,100,66,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,male,57,181.5,71.5,NaN,2162-0002_1.png,2084-0002_1.png,NaN,NaN,NaN,NaN,NaN,NaN,38.5,44.5,51,54,53,30,16,96,98,NaN,92.5,92,95.5,93.5,52.5,34.5,106,73,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,male,54,171,72.6,NaN,2163-0003_2.png,2085-0003_2.png,NaN,NaN,NaN,NaN,NaN,NaN,40,44,46,51,55,33,18,99,101,NaN,93,90.5,91,95,53,40,97,70,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,male,55,165,60.5,NaN,2164-0004_2.png,2086-0004_2.png,NaN,NaN,NaN,NaN,NaN,NaN,37,40.5,44,48,54.5,29,16,94,93,NaN,87,88,85.5,91,49.5,38.5,94,70,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,male,53,185,94.1,NaN,2165-0005_2.png,2087-0005_2.png,NaN,NaN,NaN,NaN,NaN,NaN,42.8,46,50,62.4,66,36.5,19,105.2,110,NaN,97.4,102.2,106.8,104.5,59,42,107,77,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,male,47,186,81.1,NaN,2166-0006_1.png,2088-0006_1.png,NaN,NaN,NaN,NaN,NaN,NaN,39,43,49,49,62.2,30.5,18.5,97.2,101.2,NaN,84.5,92.8,99,101,56.8,38,109,74,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,male,57,168,65.5,NaN,2167-0007_1.png,2089-0007_1.png,NaN,NaN,NaN,NaN,NaN,NaN,35,42.5,46,45.5,56.8,28.5,16.8,90,91.8,NaN,83.5,87,92,94,48,37,95.2,68,56.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,male,51,176,62,NaN,2168-0008_1.png,2090-0008_1.png,NaN,NaN,NaN,NaN,NaN,NaN,35.5,42.8,44,51,61,27,17,86.5,90,NaN,80,82,89,89.2,51.2,35,103.2,71.2,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,male,48,165.5,68.3,NaN,2169-0009_1.png,2091-0009_1.png,NaN,NaN,NaN,NaN,NaN,NaN,38,43,44,58,52,33,18,94,94.5,NaN,87,92,92,100,56.5,39.5,94,64,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,male,48,169,64.7,NaN,2170-0010_1.png,2092-0010_1.png,NaN,NaN,NaN,NaN,NaN,NaN,36.5,42,46,50,56.5,31,16.5,94,99.5,NaN,84,92,91.5,96,52.5,40,96,71,66.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,male,51,164,60,NaN,2171-0011_1.png,2093-0011_1.png,NaN,NaN,NaN,NaN,NaN,NaN,35.5,40.5,44,49,54.5,30,15,91,92.5,NaN,86.5,88,91,90.5,52,35,96,65,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,male,56,164.5,67.5,NaN,2172-0012_1.png,2094-0012_1.png,NaN,NaN,NaN,NaN,NaN,NaN,38,41,47,49,51,31,18,89,92,NaN,86,87,95,97,52,40,95,69,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,male,53,172.5,88.5,NaN,2173-0013_4.png,2095-0013_4.png,NaN,NaN,NaN,NaN,NaN,NaN,40.2,43.8,46,58.5,61.2,35.9,18,107,107.9,NaN,99,99,97.5,100.9,55.5,42.7,96.5,70.4,69.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,male,56,179,67,NaN,2174-0014_1.png,2096-0014_1.png,NaN,NaN,NaN,NaN,NaN,NaN,40,45,48,46,55,30,18.5,95,97,NaN,88,87,91,96.5,56,35,102,69,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,male,54,176,71.7,NaN,2175-0015_1.png,2097-0015_1.png,NaN,NaN,NaN,NaN,NaN,NaN,38,43,47,54,58,31,19,95.5,97,NaN,91,97,94,97.5,58,39.5,104,68,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,male,53,186,71.9,NaN,2176-0016_1.png,2098-0016_1.png,NaN,NaN,NaN,NaN,NaN,NaN,37.5,43.4,47,47.5,65,26.7,17.5,93.8,98,NaN,89,90,94.2,95.4,49.1,34.3,102.4,75.4,71.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,female,43,158.5,57.9,rectangle,2177-0018_1.png,2099-0018_1.png,NaN,NaN,NaN,NaN,NaN,NaN,34,41,42,42,48,28,15,94,92,89.5,80.5,83,97,96.5,59,35,96,63,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,female,45,164.5,62,rectangle,2178-0019_1.png,2100-0019_1.png,NaN,NaN,NaN,NaN,NaN,NaN,34,41,42.5,42.5,54,29,15.5,93,92,80,80,90.5,95,96,52,38,98,70,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
